"","de","a","ligero","profundo","despierto (s)","despertar","Duration to sleep (s)","Duration to wake up (s)","total","total_horas"
"1",2018-11-01 22:08:00,2018-11-02 08:15:00,18720,15480,2220,2,0,420,9.5,9.5
"2",2018-11-03 01:18:00,2018-11-03 08:48:00,9240,16080,1680,1,360,840,7.03333333333333,7.03333333333333
"3",2018-11-03 22:15:00,2018-11-04 09:07:00,16680,19320,3120,5,0,0,10,10
"4",2018-11-04 22:58:00,2018-11-05 06:52:00,11280,14940,2220,3,300,240,7.28333333333333,7.28333333333333
"5",2018-11-05 22:35:00,2018-11-06 06:57:00,11460,17160,1500,2,360,0,7.95,7.95
"6",2018-11-06 23:37:00,2018-11-07 06:45:00,7800,14400,3480,4,120,720,6.16666666666667,6.16666666666667
"7",2018-11-07 22:14:00,2018-11-08 06:49:00,13920,15420,1560,2,300,540,8.15,8.15
"8",2018-11-08 22:13:00,2018-11-09 07:51:00,14700,15240,4740,4,1560,0,8.31666666666667,8.31666666666667
"9",2018-11-09 22:16:00,2018-11-10 07:53:00,13020,19740,1860,3,600,0,9.1,9.1
"10",2018-11-11 22:52:00,2018-11-12 07:03:00,12420,14400,2640,4,360,120,7.45,7.45
"11",2018-11-17 00:46:00,2018-11-17 08:38:00,17760,9420,1140,3,180,0,7.55,7.55
"12",2018-11-18 00:41:00,2018-11-18 08:38:00,11700,13920,3000,2,1020,420,7.11666666666667,7.11666666666667
"13",2018-11-19 00:04:00,2018-11-19 06:51:00,10020,13380,1020,2,300,0,6.5,6.5
"14",2018-11-19 22:05:00,2018-11-20 06:50:00,9600,19620,2280,2,180,540,8.11666666666667,8.11666666666667
"15",2018-11-20 23:39:00,2018-11-21 07:07:00,12360,13500,1020,2,360,60,7.18333333333333,7.18333333333333
"16",2018-11-21 23:26:00,2018-11-22 06:46:00,11400,13320,1680,2,0,180,6.86666666666667,6.86666666666667
"17",2018-11-22 21:30:00,2018-11-23 06:59:00,12720,19560,1860,3,0,0,8.96666666666667,8.96666666666667
"18",2018-11-23 22:52:00,2018-11-24 07:34:00,11700,17820,1800,3,120,0,8.2,8.2
"19",2018-11-25 00:23:00,2018-11-25 07:33:00,15120,9180,1500,2,360,0,6.75,6.75
"20",2018-11-25 21:05:00,2018-11-26 06:59:00,19260,13500,2880,5,0,0,9.1,9.1
"21",2018-11-26 22:57:00,2018-11-27 06:42:00,14820,12180,900,1,300,120,7.5,7.5
"22",2018-11-27 23:35:00,2018-11-28 06:39:00,11520,12600,1320,4,120,0,6.7,6.7
"23",2018-11-28 23:01:00,2018-11-29 06:56:00,16140,11520,840,0,420,420,7.68333333333333,7.68333333333333
"24",2018-12-02 23:49:00,2018-12-03 07:10:00,12360,11880,2220,3,360,480,6.73333333333333,6.73333333333333
"25",2018-12-03 22:22:00,2018-12-04 07:01:00,14760,14580,1800,2,360,0,8.15,8.15
"26",2018-12-05 22:01:00,2018-12-06 07:34:00,16620,15300,2460,3,120,0,8.86666666666667,8.86666666666667
"27",2018-12-06 21:07:00,2018-12-07 07:40:00,18720,13800,1560,3,360,60,9.03333333333333,9.03333333333333
"28",2018-12-07 21:20:00,2018-12-08 07:45:00,10260,23280,3960,5,420,180,9.31666666666667,9.31666666666667
"29",2018-12-08 21:20:00,2018-12-09 08:06:00,16080,19740,2940,4,360,360,9.95,9.95
"30",2019-02-17 22:14:00,2019-02-18 05:47:00,9060,14760,3360,3,1320,0,6.61666666666667,6.61666666666667
"31",2019-02-18 22:20:00,2019-02-19 06:22:00,12180,15420,1320,1,300,600,7.66666666666667,7.66666666666667
"32",2019-02-19 23:16:00,2019-02-20 04:14:00,4920,12060,900,1,180,180,4.71666666666667,4.71666666666667
"33",2019-02-20 22:09:00,2019-02-21 07:02:00,17400,11040,3540,4,180,120,7.9,7.9
"34",2019-02-21 23:31:00,2019-02-22 06:09:00,8400,13380,2100,1,300,1140,6.05,6.05
"35",2019-02-22 22:27:00,2019-02-23 05:31:00,13680,10380,1380,2,420,0,6.68333333333333,6.68333333333333
"36",2019-02-23 15:23:00,2019-02-23 17:08:00,1800,3420,1080,1,180,300,1.45,1.45
"37",2019-02-23 22:40:00,2019-02-24 06:05:00,12660,12180,1860,2,240,180,6.9,6.9
"38",2019-02-25 22:31:00,2019-02-26 06:39:00,8820,18540,1920,2,360,420,7.6,7.6
"39",2019-02-26 22:33:00,2019-02-27 06:27:00,10680,14580,3180,3,180,120,7.01666666666667,7.01666666666667
